to,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,from
Romania,0,0,0,0,0,0,0,,,Mali
Slovenia,0,0,0,0,0,0,0,0,,Mali
Slovakia,0,0,0,0,0,0,0,,,Mali
Finland,0,0,0,0,0,0,0,0,0,Mali
Sweden,5,0,5,0,0,0,5,0,0,Mali
United Kingdom,0,0,0,0,0,0,5,,,Mali
Belgium,15,10,10,15,10,10,20,5,,Mauritania
Bulgaria,0,0,0,0,0,0,0,0,,Mauritania
Czech Republic,0,0,0,0,0,0,0,,,Mauritania
Denmark,0,0,0,0,0,0,0,,,Mauritania
Germany,10,15,20,10,10,15,15,15,,Mauritania
Estonia,0,0,0,0,0,0,0,,,Mauritania
Ireland,0,0,0,0,0,0,0,,,Mauritania
Greece,0,0,0,0,0,0,0,,,Mauritania
Spain,0,0,0,0,0,0,,,,Mauritania
France,50,60,65,70,60,80,95,,,Mauritania
Croatia,0,0,0,0,0,0,0,0,,Mauritania
Italy,10,0,10,15,15,5,10,,,Mauritania
Cyprus,0,0,0,0,0,0,0,,,Mauritania
Latvia,0,0,0,0,0,0,0,,,Mauritania
Lithuania,0,0,0,0,0,0,0,0,,Mauritania
Luxembourg,0,0,0,0,0,0,0,0,,Mauritania
Hungary,0,5,0,5,5,5,25,35,,Mauritania
Malta,0,0,0,0,0,0,0,,,Mauritania
Netherlands,0,0,0,0,0,0,0,0,,Mauritania
Austria,0,0,0,0,0,0,0,,,Mauritania
Poland,0,0,0,0,0,0,0,0,0,Mauritania
Portugal,0,0,0,0,0,0,0,,,Mauritania
Romania,0,0,0,0,0,0,0,,,Mauritania
Slovenia,0,0,0,0,0,0,0,0,,Mauritania
Slovakia,0,0,0,0,0,0,0,,,Mauritania
Finland,0,0,0,0,0,0,0,0,0,Mauritania
Sweden,0,0,0,0,0,0,0,0,5,Mauritania
United Kingdom,0,0,0,0,0,0,0,,,Mauritania
Belgium,5,5,10,15,15,15,5,5,,Niger
Bulgaria,0,0,0,0,0,0,0,0,,Niger
Czech Republic,0,0,0,0,0,0,0,,,Niger
Denmark,0,0,0,0,0,0,0,,,Niger
Germany,5,15,10,10,15,30,20,5,,Niger
Estonia,0,0,0,0,0,0,0,,,Niger
Ireland,0,0,0,0,0,0,0,,,Niger
Greece,0,0,0,0,0,0,0,,,Niger
Spain,0,0,0,0,0,0,,,,Niger
France,0,5,0,5,5,0,0,,,Niger
Croatia,0,0,0,0,0,0,0,0,,Niger
Italy,5,10,10,5,5,15,15,,,Niger
Cyprus,0,0,0,0,0,0,0,,,Niger
Latvia,0,0,0,0,0,0,0,,,Niger
Lithuania,0,0,0,0,0,0,0,0,,Niger
Luxembourg,0,0,0,0,0,0,0,0,,Niger
Hungary,0,0,0,10,0,0,0,10,,Niger
Malta,0,0,0,0,0,0,0,,,Niger
Netherlands,0,0,0,0,0,0,0,0,,Niger
Austria,0,0,5,0,0,0,0,,,Niger
Poland,0,0,0,0,0,0,0,0,0,Niger
Portugal,0,0,0,0,0,0,0,,,Niger
Romania,0,0,0,0,0,0,0,,,Niger
Slovenia,0,0,0,0,0,0,0,0,,Niger
Slovakia,0,0,0,0,0,0,0,,,Niger
Finland,0,0,0,0,0,0,0,0,0,Niger
Sweden,0,0,0,0,0,0,0,0,0,Niger
United Kingdom,0,0,0,0,0,0,0,,,Niger
Belgium,15,10,25,10,10,5,25,15,,Nigeria
Bulgaria,0,5,0,0,0,0,0,0,,Nigeria
Czech Republic,5,5,0,0,0,0,0,,,Nigeria
Denmark,10,5,10,10,15,10,10,,,Nigeria
Germany,460,425,280,335,590,660,565,480,,Nigeria
Estonia,0,0,0,0,0,0,0,,,Nigeria
Ireland,25,10,10,10,10,5,15,,,Nigeria
Greece,30,35,30,25,30,30,45,,,Nigeria
Spain,10,20,20,20,10,10,,,,Nigeria
France,105,130,130,130,105,120,135,,,Nigeria
Croatia,5,0,0,0,0,0,0,0,,Nigeria
Italy,620,600,585,630,"1,050","1,345","2,415",,,Nigeria
Cyprus,0,0,0,5,0,0,0,,,Nigeria
Latvia,0,0,0,0,0,0,0,,,Nigeria
Lithuania,0,0,0,0,0,0,0,0,,Nigeria
Luxembourg,5,5,0,0,0,0,5,0,,Nigeria
Hungary,15,20,50,100,105,140,180,315,,Nigeria
Malta,0,0,0,5,5,5,5,,,Nigeria
Netherlands,20,25,25,20,25,20,15,20,,Nigeria
Austria,45,75,85,90,120,120,105,,,Nigeria
Poland,0,0,0,0,0,0,0,0,0,Nigeria
Portugal,0,0,0,0,0,0,0,,,Nigeria
Romania,0,0,0,0,0,0,0,,,Nigeria
Slovenia,0,0,0,0,0,0,0,0,,Nigeria
Slovakia,0,0,0,0,0,0,0,,,Nigeria
Finland,5,15,15,15,10,10,15,15,15,Nigeria
Sweden,30,40,40,30,35,35,40,30,55,Nigeria
United Kingdom,130,115,145,95,105,135,145,,,Nigeria
Belgium,20,25,20,25,15,30,20,20,,Senegal
Bulgaria,0,0,0,0,0,0,0,0,,Senegal
Czech Republic,0,0,0,0,0,0,0,,,Senegal
Denmark,0,0,0,0,0,0,0,,,Senegal
Germany,150,115,50,115,135,180,145,105,,Senegal
Estonia,0,0,0,0,0,0,0,,,Senegal
Ireland,0,0,0,0,0,0,0,,,Senegal
Greece,0,0,0,5,0,5,15,,,Senegal
Spain,0,5,5,0,5,0,,,,Senegal
France,25,25,70,40,20,30,45,,,Senegal
Croatia,0,0,0,0,0,0,0,0,,Senegal
Italy,470,600,650,475,490,420,575,,,Senegal
Cyprus,0,0,0,0,0,0,0,,,Senegal
Latvia,0,0,0,0,0,0,0,,,Senegal
Lithuania,0,0,0,0,0,0,0,0,,Senegal
Luxembourg,0,0,0,0,0,0,0,0,,Senegal
Hungary,5,0,5,5,5,20,80,200,,Senegal
Malta,0,25,0,0,0,0,0,,,Senegal
Netherlands,0,0,0,0,0,0,5,5,,Senegal
Austria,5,5,0,5,5,0,10,,,Senegal
Poland,0,0,0,0,0,0,0,0,0,Senegal
Portugal,0,0,0,0,0,0,0,,,Senegal
Romania,0,0,0,0,0,0,0,,,Senegal
Slovenia,0,0,0,0,0,0,0,0,,Senegal
Slovakia,0,0,0,0,0,0,0,,,Senegal
Finland,0,0,5,0,0,0,0,0,5,Senegal
Sweden,5,0,0,0,0,0,10,5,10,Senegal
United Kingdom,0,5,0,5,0,0,5,,,Senegal
Belgium,0,0,0,5,0,0,0,5,,Sierra Leone
Bulgaria,0,0,0,0,0,0,0,0,,Sierra Leone
Czech Republic,0,0,0,0,0,0,0,,,Sierra Leone
Denmark,0,0,0,0,0,0,0,,,Sierra Leone
Germany,30,30,25,15,20,40,30,45,,Sierra Leone
Estonia,0,0,0,0,0,0,0,,,Sierra Leone
Ireland,0,0,0,0,0,0,0,,,Sierra Leone
Greece,5,5,5,0,0,0,0,,,Sierra Leone
Spain,5,0,0,0,0,0,,,,Sierra Leone
France,10,10,10,10,5,10,5,,,Sierra Leone
Croatia,0,0,0,0,0,0,0,0,,Sierra Leone
Italy,10,5,10,10,5,5,20,,,Sierra Leone
Cyprus,0,0,0,0,0,0,0,,,Sierra Leone
Latvia,0,0,0,0,0,0,0,,,Sierra Leone
Lithuania,0,0,0,0,0,0,0,0,,Sierra Leone
Luxembourg,0,0,0,0,0,0,0,0,,Sierra Leone
Hungary,5,5,5,15,20,20,5,15,,Sierra Leone
Malta,0,0,0,0,0,0,0,,,Sierra Leone
Netherlands,0,10,10,10,10,5,5,5,,Sierra Leone
Austria,5,0,0,5,5,0,0,,,Sierra Leone
Poland,0,0,0,0,0,0,0,0,0,Sierra Leone
Portugal,0,0,0,0,0,0,0,,,Sierra Leone
Romania,0,0,0,0,0,0,0,,,Sierra Leone
Slovenia,0,0,0,0,0,0,0,0,,Sierra Leone
Slovakia,0,0,0,0,0,0,0,,,Sierra Leone
Finland,0,0,0,0,0,0,0,0,0,Sierra Leone
Sweden,5,0,5,0,0,5,5,0,5,Sierra Leone
United Kingdom,5,10,15,5,5,0,10,,,Sierra Leone
Belgium,20,5,20,15,15,15,15,15,,Togo
Bulgaria,0,0,0,0,0,0,0,0,,Togo
Czech Republic,0,0,0,0,0,0,0,,,Togo
Denmark,0,0,0,0,0,0,0,,,Togo
Germany,20,15,5,10,10,20,20,50,,Togo
Estonia,0,0,0,0,0,0,0,,,Togo
Ireland,0,0,0,0,0,0,0,,,Togo
Greece,0,0,0,0,5,0,0,,,Togo
Spain,0,0,0,0,0,0,,,,Togo
France,5,10,10,15,10,15,10,,,Togo
Croatia,0,0,0,0,0,0,0,0,,Togo
Italy,5,10,5,10,25,15,40,,,Togo
Cyprus,0,0,0,0,0,0,0,,,Togo
Latvia,0,0,0,0,0,0,0,,,Togo
Lithuania,0,0,0,0,0,0,0,0,,Togo
Luxembourg,0,0,0,0,0,0,0,0,,Togo
Hungary,0,5,5,0,15,20,10,0,,Togo
Malta,0,0,0,0,0,0,0,,,Togo
Netherlands,0,0,0,0,5,0,0,0,,Togo
Austria,0,0,0,0,0,0,0,,,Togo
Poland,0,0,0,0,0,0,0,0,0,Togo
Portugal,0,0,0,0,0,0,0,,,Togo
Romania,0,0,0,0,0,0,0,,,Togo
Slovenia,0,0,0,0,0,0,0,0,,Togo
Slovakia,0,0,0,0,0,0,0,,,Togo
Finland,0,0,0,0,0,0,0,0,0,Togo
Sweden,0,0,0,0,0,0,0,0,0,Togo
United Kingdom,0,0,0,0,0,0,0,,,Togo
Belgium,0,0,0,0,0,0,0,0,,Canada
Bulgaria,0,0,0,0,0,0,0,0,,Canada
Czech Republic,0,0,0,0,0,0,0,,,Canada
Denmark,0,0,0,0,0,0,0,,,Canada
Germany,0,0,0,0,0,0,0,0,,Canada
Estonia,0,0,0,0,0,0,0,,,Canada
Ireland,0,0,0,0,0,0,0,,,Canada
Greece,0,0,0,0,0,0,0,,,Canada
Spain,0,0,0,0,0,0,,,,Canada
France,0,0,0,0,0,0,0,,,Canada
Croatia,0,0,0,0,0,0,0,0,,Canada
Italy,0,0,0,0,0,0,0,,,Canada
Cyprus,0,0,0,0,0,0,0,,,Canada
Latvia,0,0,0,0,0,0,0,,,Canada
Lithuania,0,0,0,0,0,0,0,0,,Canada
Luxembourg,0,0,0,0,0,0,0,0,,Canada
Hungary,0,0,0,0,0,0,0,0,,Canada
Malta,0,0,0,0,0,0,0,,,Canada
Netherlands,0,0,0,0,0,0,0,0,,Canada
Austria,0,0,0,0,0,0,0,,,Canada
Poland,0,0,0,0,0,0,0,0,0,Canada
Portugal,0,0,0,0,0,0,0,,,Canada
Romania,0,0,0,0,0,0,0,,,Canada
Slovenia,0,0,0,0,0,0,0,0,,Canada
Slovakia,0,0,0,0,0,0,0,,,Canada
Finland,0,0,0,0,0,0,0,0,0,Canada
Sweden,0,0,0,0,0,0,0,0,0,Canada
United Kingdom,0,0,0,0,5,0,0,,,Canada
Belgium,0,0,0,0,0,0,0,0,,United States
Bulgaria,0,0,0,0,0,0,0,0,,United States
Czech Republic,0,0,0,0,0,0,0,,,United States
Denmark,0,0,0,0,0,0,0,,,United States
Germany,0,0,0,0,0,0,0,0,,United States
Estonia,0,0,0,0,0,0,0,,,United States
Ireland,0,0,0,0,0,0,0,,,United States
Greece,0,0,0,0,0,0,0,,,United States
Spain,0,0,0,0,0,0,,,,United States
France,0,0,0,0,0,0,0,,,United States
Croatia,0,0,0,0,0,0,0,0,,United States
Italy,0,0,0,0,0,0,0,,,United States
Cyprus,0,0,0,0,0,0,0,,,United States
Latvia,0,0,0,0,0,0,0,,,United States
Lithuania,0,0,0,0,0,0,0,0,,United States
Luxembourg,0,0,0,0,0,0,0,0,,United States
Hungary,0,0,0,0,0,0,0,0,,United States
Malta,0,0,0,0,0,0,0,,,United States
Netherlands,0,0,0,5,0,0,0,0,,United States
Austria,0,0,0,0,0,0,0,,,United States
Poland,0,0,0,0,0,0,0,0,0,United States
Portugal,0,0,0,0,0,0,0,,,United States
Romania,0,0,0,0,0,0,0,,,United States
Slovenia,0,0,0,0,0,0,0,0,,United States
Slovakia,0,0,0,0,0,0,0,,,United States
Finland,0,0,0,0,0,0,0,0,0,United States
Sweden,0,0,5,0,0,0,0,10,5,United States
United Kingdom,5,0,0,0,0,5,5,,,United States
Belgium,0,0,0,0,0,0,0,0,,Antigua and Barbuda
Bulgaria,0,0,0,0,0,0,0,0,,Antigua and Barbuda
Czech Republic,0,0,0,0,0,0,0,,,Antigua and Barbuda
Denmark,0,0,0,0,0,0,0,,,Antigua and Barbuda
Germany,0,0,0,0,0,0,0,0,,Antigua and Barbuda
Estonia,0,0,0,0,0,0,0,,,Antigua and Barbuda
Ireland,0,0,0,0,0,0,0,,,Antigua and Barbuda
Greece,0,0,0,0,0,0,0,,,Antigua and Barbuda
Spain,0,0,0,0,0,0,,,,Antigua and Barbuda
France,0,0,0,0,0,0,0,,,Antigua and Barbuda
Croatia,0,0,0,0,0,0,0,0,,Antigua and Barbuda
Italy,0,0,0,0,0,0,0,,,Antigua and Barbuda
Cyprus,0,0,0,0,0,0,0,,,Antigua and Barbuda
Latvia,0,0,0,0,0,0,0,,,Antigua and Barbuda
Lithuania,0,0,0,0,0,0,0,0,,Antigua and Barbuda
Luxembourg,0,0,0,0,0,0,0,0,,Antigua and Barbuda
Hungary,0,0,0,0,0,0,0,0,,Antigua and Barbuda
Malta,0,0,0,0,0,0,0,,,Antigua and Barbuda
Netherlands,0,0,0,0,0,0,0,0,,Antigua and Barbuda
Austria,0,0,0,0,0,0,0,,,Antigua and Barbuda
Poland,0,0,0,0,0,0,0,0,0,Antigua and Barbuda
Portugal,0,0,0,0,0,0,0,,,Antigua and Barbuda
Romania,0,0,0,0,0,0,0,,,Antigua and Barbuda
Slovenia,0,0,0,0,0,0,0,0,,Antigua and Barbuda
Slovakia,0,0,0,0,0,0,0,,,Antigua and Barbuda
Finland,0,0,0,0,0,0,0,0,0,Antigua and Barbuda
Sweden,0,0,0,0,0,0,0,0,0,Antigua and Barbuda
United Kingdom,0,0,0,0,0,0,0,,,Antigua and Barbuda
Belgium,0,0,0,0,0,0,0,0,,Bahamas
Bulgaria,0,0,0,0,0,0,0,0,,Bahamas
Czech Republic,0,0,0,0,0,0,0,,,Bahamas
Denmark,0,0,0,0,0,0,0,,,Bahamas
Germany,0,0,0,0,0,0,0,0,,Bahamas
Estonia,0,0,0,0,0,0,0,,,Bahamas
Ireland,0,0,0,0,0,0,0,,,Bahamas
Greece,0,0,0,0,0,0,0,,,Bahamas
Spain,0,0,0,0,0,0,,,,Bahamas
France,0,0,0,0,0,0,0,,,Bahamas
Croatia,0,0,0,0,0,0,0,0,,Bahamas
Italy,0,0,0,0,0,0,0,,,Bahamas
Cyprus,0,0,0,0,0,0,0,,,Bahamas
Latvia,0,0,0,0,0,0,0,,,Bahamas
Lithuania,0,0,0,0,0,0,0,0,,Bahamas
Luxembourg,0,0,0,0,0,0,0,0,,Bahamas
Hungary,0,0,0,0,0,0,0,0,,Bahamas
Malta,0,0,0,0,0,0,0,,,Bahamas
Netherlands,0,0,0,0,0,0,0,0,,Bahamas
Austria,0,0,0,0,0,0,0,,,Bahamas
Poland,0,0,0,0,0,0,0,0,0,Bahamas
Portugal,0,0,0,0,0,0,0,,,Bahamas
Romania,0,0,0,0,0,0,0,,,Bahamas
Slovenia,0,0,0,0,0,0,0,0,,Bahamas
Slovakia,0,0,0,0,0,0,0,,,Bahamas
Finland,0,0,0,0,0,0,0,0,0,Bahamas
Sweden,0,0,0,0,0,0,0,0,0,Bahamas
United Kingdom,0,0,0,0,0,0,0,,,Bahamas
Belgium,0,0,0,0,0,0,0,0,,Barbados
Bulgaria,0,0,0,0,0,0,0,0,,Barbados
Czech Republic,0,0,0,0,0,0,0,,,Barbados
Denmark,0,0,0,0,0,0,0,,,Barbados
Germany,0,0,0,0,0,0,0,0,,Barbados
Estonia,0,0,0,0,0,0,0,,,Barbados
Ireland,0,0,0,0,0,0,0,,,Barbados
Greece,0,0,0,0,0,0,0,,,Barbados
Spain,0,0,0,0,0,0,,,,Barbados
France,0,0,0,0,0,0,0,,,Barbados
Croatia,0,0,0,0,0,0,0,0,,Barbados
Italy,0,0,0,0,0,0,0,,,Barbados
Cyprus,0,0,0,0,0,0,0,,,Barbados
Latvia,0,0,0,0,0,0,0,,,Barbados
Lithuania,0,0,0,0,0,0,0,0,,Barbados
Luxembourg,0,0,0,0,0,0,0,0,,Barbados
Hungary,0,0,0,0,0,0,0,0,,Barbados
Malta,0,0,0,0,0,0,0,,,Barbados
Netherlands,0,0,0,0,0,0,0,0,,Barbados
Austria,0,0,0,0,0,0,0,,,Barbados
Poland,0,0,0,0,0,0,0,0,0,Barbados
Portugal,0,0,0,0,0,0,0,,,Barbados
Romania,0,0,0,0,0,0,0,,,Barbados
Slovenia,0,0,0,0,0,0,0,0,,Barbados
Slovakia,0,0,0,0,0,0,0,,,Barbados
Finland,0,0,0,0,0,0,0,0,0,Barbados
Sweden,0,0,0,0,0,0,0,0,0,Barbados
United Kingdom,0,0,0,0,0,0,0,,,Barbados
Belgium,0,0,0,0,0,0,0,0,,Cuba
Bulgaria,0,0,0,0,0,0,0,0,,Cuba
Czech Republic,20,15,50,5,5,5,5,,,Cuba
Denmark,0,0,0,0,0,0,0,,,Cuba
Germany,0,5,0,0,10,10,20,10,,Cuba
Estonia,0,0,0,0,0,0,0,,,Cuba
Ireland,0,0,0,0,0,0,0,,,Cuba
Greece,0,0,0,0,0,0,0,,,Cuba
Spain,0,0,5,5,0,5,,,,Cuba
France,0,0,5,5,0,5,5,,,Cuba
Croatia,0,0,0,0,0,0,0,0,,Cuba
Italy,5,0,5,0,5,5,5,,,Cuba
Cyprus,0,0,0,0,0,0,0,,,Cuba
Latvia,0,0,0,0,0,0,0,,,Cuba
Lithuania,0,0,0,0,0,0,0,0,,Cuba
Luxembourg,0,0,0,0,0,0,0,0,,Cuba
Hungary,20,35,25,20,30,15,10,10,,Cuba
Malta,0,0,0,0,0,0,0,,,Cuba
Netherlands,0,0,0,0,0,0,0,0,,Cuba
Austria,0,0,0,5,0,10,0,,,Cuba
Poland,0,5,0,0,0,0,0,0,0,Cuba
Portugal,0,0,0,0,0,0,0,,,Cuba
Romania,0,0,0,0,0,0,0,,,Cuba
Slovenia,0,0,0,0,0,0,0,0,,Cuba
Slovakia,0,0,0,0,0,0,0,,,Cuba
Finland,0,0,0,0,0,0,0,0,0,Cuba
Sweden,5,5,5,5,0,5,5,0,5,Cuba
United Kingdom,0,0,0,0,0,0,0,,,Cuba
Belgium,0,0,0,0,0,0,0,0,,Dominica
Bulgaria,0,0,0,0,0,0,0,0,,Dominica
Czech Republic,0,0,0,0,0,0,0,,,Dominica
Denmark,0,0,0,0,0,0,0,,,Dominica
Germany,0,0,0,0,0,0,0,0,,Dominica
Estonia,0,0,0,0,0,0,0,,,Dominica
Ireland,0,0,0,0,0,0,0,,,Dominica
Greece,0,0,0,0,0,0,0,,,Dominica
Spain,0,0,0,0,0,0,,,,Dominica
France,0,0,0,0,5,0,0,,,Dominica
Croatia,0,0,0,0,0,0,0,0,,Dominica
Italy,0,0,0,0,0,0,0,,,Dominica
Cyprus,0,0,0,0,0,0,0,,,Dominica
Latvia,0,0,0,0,0,0,0,,,Dominica
Lithuania,0,0,0,0,0,0,0,0,,Dominica
Luxembourg,0,0,0,0,0,0,0,0,,Dominica
Hungary,0,0,0,0,0,0,0,5,,Dominica
Malta,0,0,0,0,0,0,0,,,Dominica
Netherlands,0,0,0,0,0,0,0,0,,Dominica
Austria,0,0,0,0,0,0,0,,,Dominica
Poland,0,0,0,0,0,0,0,0,0,Dominica
Portugal,0,0,0,0,0,0,0,,,Dominica
Romania,0,0,0,0,0,0,0,,,Dominica
Slovenia,0,0,0,0,0,0,0,0,,Dominica
Slovakia,0,0,0,0,0,0,0,,,Dominica
Finland,0,0,0,0,0,0,0,0,0,Dominica
Sweden,0,0,0,0,0,0,0,0,0,Dominica
United Kingdom,0,0,0,0,0,0,0,,,Dominica
Belgium,0,0,0,0,0,0,0,0,,Dominican Republic
Bulgaria,0,0,0,0,0,0,0,0,,Dominican Republic
Czech Republic,0,0,0,0,0,0,0,,,Dominican Republic
Denmark,0,0,0,0,0,0,0,,,Dominican Republic
Germany,0,0,0,0,0,0,0,0,,Dominican Republic
Estonia,0,0,0,0,0,0,0,,,Dominican Republic
Ireland,0,0,0,0,0,0,0,,,Dominican Republic
Greece,0,5,0,5,5,5,5,,,Dominican Republic
Spain,0,0,10,0,15,15,,,,Dominican Republic
France,20,5,35,35,15,35,40,,,Dominican Republic
Croatia,0,0,0,0,0,0,0,0,,Dominican Republic
Italy,0,0,0,5,0,0,0,,,Dominican Republic
Cyprus,0,0,0,0,0,0,0,,,Dominican Republic
Latvia,0,0,0,0,0,0,0,,,Dominican Republic
Lithuania,0,0,0,0,0,0,0,0,,Dominican Republic
Luxembourg,0,0,0,0,0,0,0,0,,Dominican Republic
Hungary,0,0,0,0,0,0,0,10,,Dominican Republic
Malta,0,0,0,0,0,0,0,,,Dominican Republic
Netherlands,0,0,0,0,0,0,0,0,,Dominican Republic
Austria,0,0,0,0,0,0,0,,,Dominican Republic
Poland,0,0,0,0,0,0,0,0,0,Dominican Republic
Portugal,0,0,0,0,0,0,0,,,Dominican Republic
Romania,0,0,0,0,0,0,0,,,Dominican Republic
Slovenia,0,0,0,0,0,0,0,0,,Dominican Republic
Slovakia,0,0,0,0,0,0,0,,,Dominican Republic
Finland,0,0,0,0,0,0,0,0,0,Dominican Republic
Sweden,0,0,0,0,0,0,0,0,0,Dominican Republic
United Kingdom,0,0,0,0,0,0,0,,,Dominican Republic
Belgium,0,0,0,0,0,0,0,0,,Grenada
Bulgaria,0,0,0,0,0,0,0,0,,Grenada
Czech Republic,0,0,0,0,0,0,0,,,Grenada
Denmark,0,0,0,0,0,0,0,,,Grenada
Germany,0,0,0,0,0,0,0,0,,Grenada
Estonia,0,0,0,0,0,0,0,,,Grenada
Ireland,0,0,0,0,0,0,0,,,Grenada
Greece,0,0,0,0,0,0,0,,,Grenada
Spain,0,0,0,0,0,0,,,,Grenada
France,0,0,0,0,0,0,0,,,Grenada
Croatia,0,0,0,0,0,0,0,0,,Grenada
Italy,0,0,0,0,0,0,0,,,Grenada
Cyprus,0,0,0,0,0,0,0,,,Grenada
Latvia,0,0,0,0,0,0,0,,,Grenada
Lithuania,0,0,0,0,0,0,0,0,,Grenada
Luxembourg,0,0,0,0,0,0,0,0,,Grenada
Hungary,0,0,0,0,0,0,0,0,,Grenada
Malta,0,0,0,0,0,0,0,,,Grenada
Netherlands,0,0,0,0,0,0,0,0,,Grenada
Austria,0,0,0,0,0,0,0,,,Grenada
Poland,0,0,0,0,0,0,0,0,0,Grenada
Portugal,0,0,0,0,0,0,0,,,Grenada
Romania,0,0,0,0,0,0,0,,,Grenada
Slovenia,0,0,0,0,0,0,0,0,,Grenada
Slovakia,0,0,0,0,0,0,0,,,Grenada
Finland,0,0,0,0,0,0,0,0,0,Grenada
Sweden,0,0,0,0,0,0,0,0,0,Grenada
United Kingdom,0,0,0,0,0,0,0,,,Grenada
Belgium,0,0,0,0,0,0,0,0,,Haiti
Bulgaria,0,0,0,0,0,0,0,0,,Haiti
Czech Republic,0,0,0,0,0,0,0,,,Haiti
Denmark,0,0,0,0,0,0,0,,,Haiti
Germany,0,0,0,0,0,0,5,0,,Haiti
Estonia,0,0,0,0,0,0,0,,,Haiti
Ireland,0,0,0,0,0,0,0,,,Haiti
Greece,0,0,0,0,0,0,0,,,Haiti
Spain,0,0,0,0,0,0,,,,Haiti
France,195,225,225,160,230,270,225,,,Haiti
Croatia,0,0,0,0,0,0,0,0,,Haiti
Italy,0,0,0,0,0,0,0,,,Haiti
Cyprus,0,0,0,0,0,0,0,,,Haiti
Latvia,0,0,0,0,0,0,0,,,Haiti
Lithuania,0,0,0,0,0,0,0,0,,Haiti
Luxembourg,0,0,0,0,0,0,0,0,,Haiti
Hungary,0,0,0,0,5,5,10,5,,Haiti
Malta,0,0,0,0,0,0,0,,,Haiti
Netherlands,0,0,0,0,0,0,0,0,,Haiti
Austria,0,0,0,0,0,0,0,,,Haiti
Poland,0,0,0,0,0,0,0,0,0,Haiti
Portugal,0,0,0,0,0,0,0,,,Haiti
Romania,0,0,0,0,0,0,0,,,Haiti
Slovenia,0,0,0,0,0,0,0,0,,Haiti
Slovakia,0,0,0,0,0,0,0,,,Haiti
Finland,0,0,0,0,0,0,0,0,0,Haiti
Sweden,0,0,0,0,0,0,0,0,0,Haiti
United Kingdom,0,0,0,0,0,0,0,,,Haiti
Belgium,0,0,0,0,0,0,0,0,,Jamaica
Bulgaria,0,0,0,0,0,0,0,0,,Jamaica
Czech Republic,0,0,0,0,0,0,0,,,Jamaica
Denmark,0,0,0,0,0,0,0,,,Jamaica
Germany,0,0,0,0,5,0,0,0,,Jamaica
Estonia,0,0,0,0,0,0,0,,,Jamaica
Ireland,0,0,0,0,0,0,0,,,Jamaica
Greece,0,0,0,0,0,0,0,,,Jamaica
Spain,0,0,0,0,0,0,,,,Jamaica
France,0,0,0,0,0,0,0,,,Jamaica
Croatia,0,0,0,0,0,0,0,0,,Jamaica
Italy,0,0,0,0,0,0,0,,,Jamaica
Cyprus,0,0,0,0,0,0,0,,,Jamaica
Latvia,0,0,0,0,0,0,0,,,Jamaica
Lithuania,0,0,0,0,0,0,0,0,,Jamaica
Luxembourg,0,0,0,0,0,0,0,0,,Jamaica
Hungary,0,0,0,0,0,0,0,0,,Jamaica
Malta,0,0,0,0,0,0,0,,,Jamaica
Netherlands,5,5,5,0,5,5,0,0,,Jamaica
Austria,0,0,0,0,0,0,0,,,Jamaica
Poland,0,0,0,0,0,0,0,0,0,Jamaica
Portugal,0,0,0,0,0,0,0,,,Jamaica
Romania,0,0,0,0,0,0,0,,,Jamaica
Slovenia,0,0,0,0,0,0,0,0,,Jamaica
Slovakia,0,0,0,0,0,0,0,,,Jamaica
Finland,0,0,0,0,0,0,0,0,0,Jamaica
Sweden,0,0,0,0,0,0,0,0,0,Jamaica
United Kingdom,10,10,10,10,10,10,15,,,Jamaica
Belgium,0,0,0,0,0,0,0,0,,Saint Kitts and Nevis
Bulgaria,0,0,0,0,0,0,0,0,,Saint Kitts and Nevis
Czech Republic,0,0,0,0,0,0,0,,,Saint Kitts and Nevis
Denmark,0,0,0,0,0,0,0,,,Saint Kitts and Nevis
Germany,0,0,0,0,0,0,0,0,,Saint Kitts and Nevis
Estonia,0,0,0,0,0,0,0,,,Saint Kitts and Nevis
Ireland,0,0,0,0,0,0,0,,,Saint Kitts and Nevis
Greece,0,0,0,0,0,0,0,,,Saint Kitts and Nevis
Spain,0,0,0,0,0,0,,,,Saint Kitts and Nevis
France,0,0,0,0,0,0,0,,,Saint Kitts and Nevis
Croatia,0,0,0,0,0,0,0,0,,Saint Kitts and Nevis
Italy,0,0,0,0,0,0,0,,,Saint Kitts and Nevis
Cyprus,0,0,0,0,0,0,0,,,Saint Kitts and Nevis
Latvia,0,0,0,0,0,0,0,,,Saint Kitts and Nevis
Lithuania,0,0,0,0,0,0,0,0,,Saint Kitts and Nevis
Luxembourg,0,0,0,0,0,0,0,0,,Saint Kitts and Nevis
Hungary,0,0,0,0,0,0,0,0,,Saint Kitts and Nevis
Malta,0,0,0,0,0,0,0,,,Saint Kitts and Nevis
Netherlands,0,0,0,0,0,0,0,0,,Saint Kitts and Nevis
Austria,0,0,0,0,0,0,0,,,Saint Kitts and Nevis
Poland,0,0,0,0,0,0,0,0,0,Saint Kitts and Nevis
Portugal,0,0,0,0,0,0,0,,,Saint Kitts and Nevis
Romania,0,0,0,0,0,0,0,,,Saint Kitts and Nevis
Slovenia,0,0,0,0,0,0,0,0,,Saint Kitts and Nevis
